"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Dienstag",3596.35994917689
"2","member","Dienstag",826.142747003117
"3","casual","Donnerstag",3682.98467067268
"4","member","Donnerstag",823.92780326203
"5","casual","Freitag",3773.83511159766
"6","member","Freitag",824.530506415778
"7","casual","Mittwoch",3718.66189688179
"8","member","Mittwoch",823.999644234094
"9","casual","Montag",3372.28692301735
"10","member","Montag",842.572569441503
"11","casual","Samstag",3331.91384107319
"12","member","Samstag",968.933722973489
"13","casual","Sonntag",3581.40538796313
"14","member","Sonntag",919.974616087922
